SYMB,MM/DD/YY,NAV
CUUR0000AA0,06/01/1918,44.1
CUUR0000AA0,05/01/1918,43.3
CUUR0000AA0,04/01/1918,42.5
CUUR0000AA0,03/01/1918,42.0
CUUR0000AA0,02/01/1918,42.2
CUUR0000AA0,01/01/1918,41.8
CUUR0000AA0,12/01/1917,41.0
CUUR0000AA0,11/01/1917,40.5
CUUR0000AA0,10/01/1917,40.4
CUUR0000AA0,09/01/1917,39.7
CUUR0000AA0,08/01/1917,39.0
CUUR0000AA0,07/01/1917,38.4
CUUR0000AA0,06/01/1917,38.8
CUUR0000AA0,05/01/1917,38.4
CUUR0000AA0,04/01/1917,37.6
CUUR0000AA0,03/01/1917,36.0
CUUR0000AA0,02/01/1917,35.8
CUUR0000AA0,01/01/1917,35.0
CUUR0000AA0,12/01/1916,34.6
CUUR0000AA0,11/01/1916,34.4
CUUR0000AA0,10/01/1916,33.8
CUUR0000AA0,09/01/1916,33.4
CUUR0000AA0,08/01/1916,32.8
CUUR0000AA0,07/01/1916,32.4
CUUR0000AA0,06/01/1916,32.4
CUUR0000AA0,05/01/1916,32.0
CUUR0000AA0,04/01/1916,31.9
CUUR0000AA0,03/01/1916,31.6
CUUR0000AA0,02/01/1916,31.3
CUUR0000AA0,01/01/1916,31.3
CUUR0000AA0,12/01/1915,31.0
CUUR0000AA0,11/01/1915,30.9
CUUR0000AA0,10/01/1915,30.7
CUUR0000AA0,09/01/1915,30.4
CUUR0000AA0,08/01/1915,30.3
CUUR0000AA0,07/01/1915,30.3
CUUR0000AA0,06/01/1915,30.3
CUUR0000AA0,05/01/1915,30.2
CUUR0000AA0,04/01/1915,30.1
CUUR0000AA0,03/01/1915,29.8
CUUR0000AA0,02/01/1915,30.1
CUUR0000AA0,01/01/1915,30.3
CUUR0000AA0,12/01/1914,30.4
CUUR0000AA0,11/01/1914,30.5
CUUR0000AA0,10/01/1914,30.4
CUUR0000AA0,09/01/1914,30.6
CUUR0000AA0,08/01/1914,30.5
CUUR0000AA0,07/01/1914,30.1
CUUR0000AA0,06/01/1914,29.8
CUUR0000AA0,05/01/1914,29.6
CUUR0000AA0,04/01/1914,29.4
CUUR0000AA0,03/01/1914,29.7
CUUR0000AA0,02/01/1914,29.8
CUUR0000AA0,01/01/1914,30.1
CUUR0000AA0,12/01/1913,30.1
CUUR0000AA0,11/01/1913,30.2
CUUR0000AA0,10/01/1913,30.1
CUUR0000AA0,09/01/1913,29.9
CUUR0000AA0,08/01/1913,29.8
CUUR0000AA0,07/01/1913,29.6
CUUR0000AA0,06/01/1913,29.3
CUUR0000AA0,05/01/1913,29.2
CUUR0000AA0,04/01/1913,29.4
CUUR0000AA0,03/01/1913,29.3
CUUR0000AA0,02/01/1913,29.3
CUUR0000AA0,01/01/1913,29.4
CWUR0000SA0,12/01/1922,17.0
CWUR0000SA0,11/01/1922,16.9
CWUR0000SA0,10/01/1922,16.8
CWUR0000SA0,09/01/1922,16.7
CWUR0000SA0,08/01/1922,16.7
CWUR0000SA0,07/01/1922,16.9
CWUR0000SA0,06/01/1922,16.8
CWUR0000SA0,05/01/1922,16.8
CWUR0000SA0,04/01/1922,16.8
CWUR0000SA0,03/01/1922,16.8
CWUR0000SA0,02/01/1922,17.0
CWUR0000SA0,01/01/1922,17.0
CWUR0000SA0,12/01/1921,17.4
CWUR0000SA0,11/01/1921,17.5
CWUR0000SA0,10/01/1921,17.6
CWUR0000SA0,09/01/1921,17.6
CWUR0000SA0,08/01/1921,17.8
CWUR0000SA0,07/01/1921,17.8
CWUR0000SA0,06/01/1921,17.7
CWUR0000SA0,05/01/1921,17.8
CWUR0000SA0,04/01/1921,18.2
CWUR0000SA0,03/01/1921,18.4
CWUR0000SA0,02/01/1921,18.5
CWUR0000SA0,01/01/1921,19.1
CWUR0000SA0,12/01/1920,19.5
CWUR0000SA0,11/01/1920,19.9
CWUR0000SA0,10/01/1920,20.0
CWUR0000SA0,09/01/1920,20.1
CWUR0000SA0,08/01/1920,20.4
CWUR0000SA0,07/01/1920,20.9
CWUR0000SA0,06/01/1920,21.0
CWUR0000SA0,05/01/1920,20.7
CWUR0000SA0,04/01/1920,20.4
CWUR0000SA0,03/01/1920,19.8
CWUR0000SA0,02/01/1920,19.6
CWUR0000SA0,01/01/1920,19.4
CWUR0000SA0,12/01/1919,19.0
CWUR0000SA0,11/01/1919,18.6
CWUR0000SA0,10/01/1919,18.2
CWUR0000SA0,09/01/1919,17.9
CWUR0000SA0,08/01/1919,17.8
CWUR0000SA0,07/01/1919,17.5
CWUR0000SA0,06/01/1919,17.0
CWUR0000SA0,05/01/1919,17.0
CWUR0000SA0,04/01/1919,16.8
CWUR0000SA0,03/01/1919,16.5
CWUR0000SA0,02/01/1919,16.2
CWUR0000SA0,01/01/1919,16.6
CWUR0000SA0,12/01/1918,16.6
CWUR0000SA0,11/01/1918,16.3
CWUR0000SA0,10/01/1918,16.1
CWUR0000SA0,09/01/1918,15.8
CWUR0000SA0,08/01/1918,15.4
CWUR0000SA0,07/01/1918,15.2
CWUR0000SA0,06/01/1918,14.8
CWUR0000SA0,05/01/1918,14.5
CWUR0000SA0,04/01/1918,14.3
CWUR0000SA0,03/01/1918,14.1
CWUR0000SA0,02/01/1918,14.2
CWUR0000SA0,01/01/1918,14.0
CWUR0000SA0,12/01/1917,13.8
CWUR0000SA0,11/01/1917,13.6
CWUR0000SA0,10/01/1917,13.6
CWUR0000SA0,09/01/1917,13.3
CWUR0000SA0,08/01/1917,13.1
CWUR0000SA0,07/01/1917,12.9
CWUR0000SA0,06/01/1917,13.0
CWUR0000SA0,05/01/1917,12.9
CWUR0000SA0,04/01/1917,12.6
CWUR0000SA0,03/01/1917,12.1
CWUR0000SA0,02/01/1917,12.0
CWUR0000SA0,01/01/1917,11.8
CWUR0000SA0,12/01/1916,11.6
CWUR0000SA0,11/01/1916,11.5
CWUR0000SA0,10/01/1916,11.3
CWUR0000SA0,09/01/1916,11.2
